"last_name","frequency"
"Baba","226"
"Coorg","223"
"Gelosh","223"
"Sudbeck","222"
"Farris","222"
"Adachi","221"
"Osgood","220"
"Masada","218"
"Mandell","218"
"Neiman","218"
"Boudaillier","217"
"Wendorf","217"
"Cummings","216"
"Solares","216"
"Pettis","216"
"Mahnke","216"
"Maksimenko","215"
"Kulisch","215"
"Emmart","215"
"Birjandi","215"
"Collette","215"
"Rosaz","214"
"Scallan","214"
"Boguraev","214"
"Pokrovskii","214"
"Siksek","213"
"Morrey","213"
"Stifter","213"
"Wolniewicz","213"
"Pramanik","212"
"Siepmann","212"
"Garrabrants","212"
"Taubman","212"
"Herber","212"
"Rabehasaina","212"
"Rajcani","212"
"Swen","212"
"Peek","212"
"Kitsuregawa","211"
"Barriga","211"
"Kamber","211"
"Ventosa","211"
"Gente","211"
"Ghemri","211"
"Cangellaris","211"
"Asser","211"
"Schaaf","210"
"Bolsens","210"
"Driscoll","210"
"Redmiles","210"
"Luce","210"
"Malabarba","209"
"Serra","209"
"Khasidashvili","209"
"Flowers","209"
"Lamparter","209"
"Gewali","209"
"Gerlach","209"
"Zuberek","209"
"Lunt","209"
"Chenney","209"
"Lowrie","208"
"Gecsei","208"
"Cesareni","208"
"Aloia","208"
"Panienski","208"
"Jenevein","208"
"Angelopoulos","207"
"Lamba","207"
"Garnier","207"
"Akazan","207"
"Gaughan","206"
"Bondorf","206"
"Foote","206"
"Duclos","206"
"Hebert","206"
"Perng","206"
"Braunmuhl","206"
"Chimia","206"
"Ecklund","205"
"Ponthieu","205"
"Lanphier","205"
"Siprelle","205"
"Shimshoni","205"
"Bennet","205"
"DeMori","205"
"Aamodt","205"
"Onuegbe","205"
"Geffroy","205"
"Encarnacion","205"
"Matzov","205"
"Marakhovsky","205"
"Panangaden","205"
"Emden","205"
"Garnham","205"
"Legleitner","204"
"Linares","204"
"Shrader","204"
"Whitcomb","204"
"Malinowski","204"
"Riexinger","204"
"Coors","204"
"Luders","204"
"Desikan","204"
"Alpin","204"
"Shiratori","204"
"Argence","204"
"Swick","204"
"Ishibashi","203"
"Feinberg","203"
